ID,medv
3,33.55051
6,24.585184
8,15.726828
9,14.253799
10,17.088182
18,17.953865
20,19.287632
25,15.403066
26,15.725064
27,17.744837
29,17.820536
30,20.606073
33,14.107156
34,15.429117
36,21.117037
37,20.708965
38,22.487837
42,28.215973
49,14.834446
53,24.720385
60,21.54045
63,22.533333
70,21.831934
72,20.698002
79,20.11711
80,21.92485
83,22.74278
92,22.520798
93,22.448092
96,24.849285
98,42.36358
99,42.82702
100,29.311203
105,19.397545
106,16.037262
111,19.203354
113,16.818047
114,15.682528
116,18.080809
126,18.999147
130,15.341243
131,17.922346
133,19.10563
136,15.464574
141,14.450672
144,14.049007
145,14.075814
147,15.3252125
152,18.989283
153,19.717424
156,15.00548
158,32.0624
163,45.313385
169,20.048395
185,21.490673
186,21.699438
189,27.161634
196,44.049786
197,34.188152
199,30.095167
200,32.232292
203,42.425068
208,18.047499
210,16.358929
211,18.158533
213,19.478537
216,22.935005
218,22.587332
219,17.329924
220,20.57484
221,28.596996
229,41.086414
232,33.621284
238,33.913822
239,22.990822
240,24.324263
242,20.237083
246,17.24665
248,20.349855
253,32.16763
255,22.518398
256,21.837093
257,40.679363
258,45.11115
259,32.998226
260,29.195644
268,38.75163
270,20.472792
271,20.261473
276,29.225538
277,30.468258
278,28.787489
279,23.090818
281,44.464035
288,22.783165
290,23.683203
292,34.387825
295,20.363712
296,24.673756
299,24.360512
300,34.632072
301,26.959824
308,27.671694
314,22.08776
315,24.126892
320,19.587917
322,23.0608
323,22.28967
324,20.319754
327,23.0608
330,21.752043
332,20.169678
333,21.837093
336,20.534008
338,19.121296
346,19.924889
347,19.591963
351,22.471783
352,24.622818
354,28.172085
355,20.557957
356,21.743263
362,19.04883
364,18.010262
365,41.598568
370,41.126175
376,18.088182
379,10.841228
380,10.995845
381,14.527483
382,10.919911
386,8.746143
389,9.113589
391,14.66318
394,16.439638
396,13.895161
398,12.969635
400,11.601937
403,11.546635
405,9.225285
406,8.735843
407,12.198275
410,12.67206
411,22.61863
412,11.393377
413,10.704059
417,10.950628
421,16.175026
422,16.943047
423,18.514374
424,13.522195
427,13.861591
431,13.200943
436,11.413638
437,11.866564
439,9.367362
447,15.363863
450,14.291909
451,14.296691
455,12.884296
457,14.400566
471,16.4099
474,25.87048
476,14.516599
483,29.220285
486,19.835672
490,13.286571
495,19.433136
496,17.13649
497,16.527033
499,19.433136
501,19.391176
505,23.179436
